X,Y,Z,Yaw,Pitch,Roll
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,2.4161073825503356,0.0,0.0
-0.01,0.0,0.0,4.832214765100671,0.0,0.0
-0.01,0.0,0.0,7.248322147651007,0.0,0.0
-0.01,0.0,0.0,9.664429530201343,0.0,0.0
0.0,0.0,0.0,12.080536912751679,0.0,0.0
0.0,0.0,0.0,14.496644295302014,0.0,0.0
0.0,0.0,0.0,16.91275167785235,0.0,0.0
0.0,0.0,0.0,19.328859060402685,0.0,0.0
0.0,0.0,0.0,21.74496644295302,0.0,0.0
0.0,0.0,0.0,24.161073825503358,0.0,0.0
0.0,0.0,0.0,26.57718120805369,0.0,0.0
0.0,0.0,0.0,28.993288590604028,0.0,0.0
0.0,0.0,0.0,31.409395973154364,0.0,0.0
0.0,0.0,0.0,33.8255033557047,0.0,0.0
0.0,0.0,0.0,36.241610738255034,0.0,0.0
0.0,0.0,0.0,38.65771812080537,0.0,0.0
0.0,0.0,0.0,41.07382550335571,0.0,0.0
0.0,0.0,0.0,43.48993288590604,0.0,0.0
0.0,0.0,0.0,45.90604026845638,0.0,0.0
0.0,0.0,0.0,48.322147651006716,0.0,0.0
0.0,0.0,0.0,50.738255033557046,0.0,0.0
0.0,0.0,0.0,53.15436241610738,0.0,0.0
0.0,0.0,0.0,55.57046979865772,0.0,0.0
0.0,0.0,0.0,57.986577181208055,0.0,0.0
0.0,0.0,0.0,60.40268456375839,0.0,0.0
0.0,0.0,0.0,62.81879194630873,0.0,0.0
0.0,0.0,0.0,65.23489932885906,0.0,0.0
0.0,0.0,0.0,67.6510067114094,0.0,0.0
0.0,0.0,0.0,70.06711409395973,0.0,0.0
0.0,0.0,0.0,72.48322147651007,0.0,0.0
0.0,0.0,0.0,74.8993288590604,0.0,0.0
0.0,0.0,0.0,77.31543624161074,0.0,0.0
0.0,0.0,0.0,79.73154362416108,0.0,0.0
0.0,0.0,0.0,82.14765100671141,0.0,0.0
0.0,0.0,0.0,84.56375838926175,0.0,0.0
0.0,0.0,0.0,86.97986577181209,0.0,0.0
0.0,0.0,0.0,89.39597315436242,0.0,0.0
0.0,0.0,0.0,91.81208053691276,0.0,0.0
0.0,0.0,0.0,94.2281879194631,0.0,0.0
0.0,0.0,0.0,96.64429530201343,0.0,0.0
0.0,0.0,0.0,99.06040268456375,0.0,0.0
0.0,0.0,0.0,101.47651006711409,0.0,0.0
0.0,0.0,0.0,103.89261744966443,0.0,0.0
0.0,0.0,0.0,106.30872483221476,0.0,0.0
0.0,0.0,0.0,108.7248322147651,0.0,0.0
0.0,0.0,0.0,111.14093959731544,0.0,0.0
0.0,0.0,0.0,113.55704697986577,0.0,0.0
0.0,0.0,0.0,115.97315436241611,0.0,0.0
0.0,0.0,0.0,118.38926174496645,0.0,0.0
0.0,0.0,0.0,120.80536912751678,0.0,0.0
0.0,0.0,0.0,123.22147651006712,0.0,0.0
0.0,0.0,0.0,125.63758389261746,0.0,0.0
0.0,0.0,0.0,128.05369127516778,0.0,0.0
0.0,0.0,0.0,130.46979865771812,0.0,0.0
0.0,0.0,0.0,132.88590604026845,0.0,0.0
0.0,0.0,0.0,135.3020134228188,0.0,0.0
0.0,0.0,0.0,137.71812080536913,0.0,0.0
0.0,0.0,0.0,140.13422818791946,0.0,0.0
0.0,0.0,0.0,142.5503355704698,0.0,0.0
0.0,0.0,0.0,144.96644295302013,0.0,0.0
0.0,0.0,0.0,147.38255033557047,0.0,0.0
0.0,0.0,0.0,149.7986577181208,0.0,0.0
0.0,0.0,0.0,152.21476510067114,0.0,0.0
0.0,0.0,0.0,154.63087248322148,0.0,0.0
0.0,0.0,0.0,157.04697986577182,0.0,0.0
0.0,0.0,0.0,159.46308724832215,0.0,0.0
0.0,0.0,0.0,161.8791946308725,0.0,0.0
0.0,0.0,0.0,164.29530201342283,0.0,0.0
0.0,0.0,0.0,166.71140939597316,0.0,0.0
0.0,0.0,0.0,169.1275167785235,0.0,0.0
0.0,0.0,0.0,171.54362416107384,0.0,0.0
0.0,0.0,0.0,173.95973154362417,0.0,0.0
0.0,0.0,0.0,176.3758389261745,0.0,0.0
0.0,0.0,0.0,178.79194630872485,0.0,0.0
0.0,0.0,0.0,181.20805369127518,0.0,0.0
0.0,0.0,0.0,183.62416107382552,0.0,0.0
0.0,0.0,0.0,186.04026845637586,0.0,0.0
0.0,0.0,0.0,188.4563758389262,0.0,0.0
0.0,0.0,0.0,190.87248322147653,0.0,0.0
0.0,0.0,0.0,193.28859060402687,0.0,0.0
0.0,0.0,0.0,195.70469798657717,0.0,0.0
0.0,0.0,0.0,198.1208053691275,0.0,0.0
0.0,0.0,0.0,200.53691275167785,0.0,0.0
0.0,0.0,0.0,202.95302013422818,0.0,0.0
0.0,0.0,0.0,205.36912751677852,0.0,0.0
0.0,0.0,0.0,207.78523489932886,0.0,0.0
0.0,0.0,0.0,210.2013422818792,0.0,0.0
0.0,0.0,0.0,212.61744966442953,0.0,0.0
0.0,0.0,0.0,215.03355704697987,0.0,0.0
0.0,0.0,0.0,217.4496644295302,0.0,0.0
0.0,0.0,0.0,219.86577181208054,0.0,0.0
0.0,0.0,0.0,222.28187919463087,0.0,0.0
0.0,0.0,0.0,224.6979865771812,0.0,0.0
0.0,0.0,0.0,227.11409395973155,0.0,0.0
0.0,0.0,0.0,229.53020134228188,0.0,0.0
0.0,0.0,0.0,231.94630872483222,0.0,0.0
0.0,0.0,0.0,234.36241610738256,0.0,0.0
0.0,0.0,0.0,236.7785234899329,0.0,0.0
0.0,0.0,0.0,239.19463087248323,0.0,0.0
0.0,0.0,0.0,241.61073825503357,0.0,0.0
0.0,0.0,0.0,244.0268456375839,0.0,0.0
0.0,0.0,0.0,246.44295302013424,0.0,0.0
0.0,0.0,0.0,248.85906040268458,0.0,0.0
0.0,0.0,0.0,251.2751677852349,0.0,0.0
0.0,0.0,0.0,253.69127516778525,0.0,0.0
0.0,0.0,0.0,256.10738255033556,0.0,0.0
0.0,0.0,0.0,258.5234899328859,0.0,0.0
0.0,0.0,0.0,260.93959731543623,0.0,0.0
0.0,0.0,0.0,263.3557046979866,0.0,0.0
0.0,0.0,0.0,265.7718120805369,0.0,0.0
0.0,0.0,0.0,268.18791946308727,0.0,0.0
0.0,0.0,0.0,270.6040268456376,0.0,0.0
0.0,0.0,0.0,273.02013422818794,0.0,0.0
0.0,0.0,0.0,275.43624161073825,0.0,0.0
0.0,0.0,0.0,277.8523489932886,0.0,0.0
0.0,0.0,0.0,280.2684563758389,0.0,0.0
0.0,0.0,0.0,282.6845637583893,0.0,0.0
0.0,0.0,0.0,285.1006711409396,0.0,0.0
0.0,0.0,0.0,287.51677852348996,0.0,0.0
0.0,0.0,0.0,289.93288590604027,0.0,0.0
0.0,0.0,0.0,292.34899328859063,0.0,0.0
0.0,0.0,0.0,294.76510067114094,0.0,0.0
0.0,0.0,0.0,297.1812080536913,0.0,0.0
0.0,0.0,0.0,299.5973154362416,0.0,0.0
0.0,0.0,0.0,302.013422818792,0.0,0.0
0.0,0.0,0.0,304.4295302013423,0.0,0.0
0.0,0.0,0.0,306.84563758389265,0.0,0.0
0.0,0.0,0.0,309.26174496644296,0.0,0.0
0.0,0.0,0.0,311.67785234899327,0.0,0.0
0.0,0.0,0.0,314.09395973154363,0.0,0.0
0.0,0.0,0.0,316.51006711409394,0.0,0.0
0.0,0.0,0.0,318.9261744966443,0.0,0.0
0.0,0.0,0.0,321.3422818791946,0.0,0.0
0.0,0.0,0.0,323.758389261745,0.0,0.0
0.0,0.0,0.0,326.1744966442953,0.0,0.0
0.0,0.0,0.0,328.59060402684565,0.0,0.0
0.0,0.0,0.0,331.00671140939596,0.0,0.0
0.0,0.0,0.0,333.4228187919463,0.0,0.0
0.0,0.0,0.0,335.83892617449663,0.0,0.0
0.0,0.0,0.0,338.255033557047,0.0,0.0
0.0,0.0,0.0,340.6711409395973,0.0,0.0
0.0,0.0,0.0,343.0872483221477,0.0,0.0
0.0,0.0,0.0,345.503355704698,0.0,0.0
0.0,0.0,0.0,347.91946308724835,0.0,0.0
0.0,0.0,0.0,350.33557046979865,0.0,0.0
0.0,0.0,0.0,352.751677852349,0.0,0.0
0.0,0.0,0.0,355.1677852348993,0.0,0.0
0.0,0.0,0.0,357.5838926174497,0.0,0.0
0.0,0.0,0.0,360.0,0.0,0.0
